(-0.403, 0.397, 0.870),
(-0.204, -0.391, 0.722),
(0.098, -0.371, 0.577),
(0.419, -0.322, 0.511),
(0.523, -0.326, 0.446),
(0.460, -0.209, 0.516),
(0.339, -0.116, 0.567),
(0.184, -0.132, 0.770),
(-0.018, -0.165, 1.012),
(0.085, -0.115, 1.057),
(0.405, -0.049, 0.994),
(0.486, -0.058, 0.905),
(0.181, -0.083, 0.884),
(0.059, -0.065, 0.866),
(0.250, -0.067, 0.844),
(0.403, -0.116, 0.788),
(0.378, -0.170, 0.759),
(0.291, -0.205, 0.738),
(0.195, -0.252, 0.723),
(0.201, -0.293, 0.772),
(0.227, -0.335, 0.802),
(0.093, -0.310, 0.862),
(-0.068, -0.213, 0.970),
(-0.163, -0.096, 1.007),
(-0.147, -0.067, 0.929),
(-0.326, 0.285, 1.157),
(-0.343, 0.407, 0.955),
(-0.333, 0.602, 1.030),
(-0.315, 0.668, 0.952),
(-0.177, 0.757, 1.043),
(-0.252, 0.672, 1.021),
(-0.411, 0.549, 0.846),
(-0.395, 0.722, 0.840),
(-0.323, 0.817, 0.862),
(-0.360, 0.817, 0.730),
(-0.286, 0.958, 0.846),
(-0.182, 0.915, 0.803),
(-0.162, 0.981, 0.835),
(-0.292, 0.965, 0.885),
(-0.376, 0.862, 0.898),
(-0.402, 0.669, 0.774),
(-0.499, 0.587, 0.687),
(-0.504, 0.590, 0.670),
(-0.494, 0.582, 0.677),
(-0.454, 0.571, 0.693),
(-0.461, 0.591, 0.706),
(-0.518, 0.660, 0.683),
(-0.496, 0.678, 0.688),
(-0.480, 0.750, 0.727),
(-0.479, 0.805, 0.725),
(-0.451, 0.829, 0.725),
(-0.427, 0.878, 0.747),
(-0.402, 0.958, 0.801),
(-0.391, 0.970, 0.796),
(-0.439, 0.944, 0.773),
(-0.482, 0.920, 0.792),
(-0.542, 0.970, 0.925),
(-0.520, 0.798, 0.928),
(-0.483, -0.005, 1.081),
(-0.434, 0.045, 1.048),
(-0.473, 0.097, 1.026),
(-0.419, -0.070, 0.964),
(-0.180, -0.224, 0.860),
(-0.033, -0.348, 0.774),
(-0.001, -0.357, 0.530),
(0.319, -0.268, 0.489),
(0.535, -0.174, 0.421),
(0.520, -0.093, 0.304),
(0.173, -0.049, 0.483),
(-0.248, -0.010, 0.821),
(-0.217, 0.041, 0.967),
(0.085, 0.092, 0.977),
(0.190, 0.106, 0.868),
(0.034, 0.103, 0.922),
(0.128, 0.094, 0.933),
(0.272, 0.071, 0.912),
(0.263, 0.040, 0.905),
(0.228, 0.021, 0.901),
(0.244, -0.003, 0.888),
(0.116, -0.179, 0.741),
(0.011, -0.269, 0.709),
(-0.025, -0.243, 0.762),
(-0.130, -0.159, 0.858),
(-0.301, -0.238, 0.805),
(-0.333, -0.240, 0.838),
(-0.333, 0.093, 0.981),
(-0.479, 0.073, 0.954),
(-0.595, 0.400, 1.037),
(-0.653, 0.587, 1.028),
(-0.571, 0.582, 1.000),
(-0.549, 0.468, 0.909),
(-0.524, 0.681, 0.990),
(-0.506, 0.825, 1.011),
(-0.521, 0.866, 0.971),
(-0.421, 1.021, 0.998),
(-0.308, 1.200, 1.094),
(-0.228, 1.289, 1.114),
(-0.321, 1.266, 1.086),
(-0.429, 1.058, 1.006),
(-0.479, 0.914, 0.890),
(-0.497, 0.834, 0.792),
(-0.521, 0.715, 0.740),
(-0.443, 0.334, 0.816),
(-0.438, 0.527, 0.843),
(-0.461, 0.562, 0.837),
(-0.479, 0.590, 0.845),
(-0.492, 0.599, 0.856),
(-0.507, 0.601, 0.854),
(-0.500, 0.596, 0.847),
(-0.471, 0.625, 0.837),
(-0.452, 0.694, 0.869),
(-0.444, 0.751, 0.890),
(-0.431, 0.735, 0.870),
(-0.454, 0.707, 0.870),
(-0.477, 0.735, 0.904),
(-0.477, 0.753, 0.927),
(-0.486, 0.725, 0.926),
(-0.511, 0.709, 0.985),
(-0.570, 0.809, 1.066),
(-0.553, 0.683, 1.059),
(-0.471, 0.482, 1.017),
(-0.518, 0.541, 1.107),
(-0.544, 0.660, 1.193),
(-0.439, 0.609, 1.235),
(-0.245, 0.286, 1.255),
(-0.233, 0.033, 1.089),
(-0.500, 0.012, 1.157),
(-0.433, 0.038, 1.033),
(-0.092, -0.091, 0.953),
(0.085, -0.214, 0.901),
(0.001, -0.322, 0.707),
(-0.054, -0.375, 0.475),
(0.150, -0.242, 0.513),
(0.422, -0.169, 0.573),
(0.520, -0.132, 0.620),
(0.505, -0.093, 0.650),
(0.493, -0.096, 0.623),
(0.650, 0.007, 0.402),
(0.637, -0.009, 0.391),
(0.614, 0.033, 0.501),
(0.605, 0.061, 0.587),
(0.556, 0.054, 0.711),
(0.628, 0.111, 0.728),
(0.551, 0.116, 0.735),
(0.599, 0.111, 0.714),
(0.608, 0.102, 0.688),
(0.570, 0.081, 0.674),
(0.579, 0.054, 0.655),
(0.688, 0.033, 0.576),
(0.751, -0.029, 0.479),
(0.695, -0.139, 0.336),
(0.536, -0.221, 0.225),
(0.342, -0.261, 0.194),
(0.123, -0.373, 0.276),
(0.055, -0.454, 0.338),
(-0.030, -0.463, 0.547),
(-0.262, -0.370, 0.890),
(-0.327, -0.125, 1.039),
(-0.229, 0.039, 1.070),
(-0.289, 0.097, 1.269),
(-0.421, 0.517, 1.461),
(-0.435, 0.696, 1.453),
(-0.487, 0.595, 1.294),
(-0.421, 0.546, 1.205),
(-0.308, 0.658, 1.193),
(-0.318, 0.749, 1.232),
(-0.384, 0.679, 1.147),
(-0.462, 0.647, 1.060),
(-0.454, 0.719, 0.994),
(-0.521, 0.705, 0.938),
(-0.518, 0.646, 0.827),
(-0.506, 0.717, 0.789),
(-0.530, 0.759, 0.782),
(-0.488, 0.787, 0.798),
(-0.457, 0.750, 0.819),
(-0.423, 0.681, 0.834),
(-0.418, 0.654, 0.867),
(-0.441, 0.583, 0.894),
(-0.449, 0.491, 0.889),
(-0.457, 0.401, 0.875),
(-0.495, 0.307, 0.844),
(-0.500, 0.306, 0.839),
(-0.500, 0.333, 0.841),
(-0.477, 0.372, 0.841),
(-0.456, 0.400, 0.831),
(-0.484, 0.426, 0.831),
(-0.523, 0.445, 0.828),
(-0.522, 0.426, 0.844),
(-0.517, 0.401, 0.859),
(-0.514, 0.392, 0.878),
(-0.509, 0.384, 0.875),
(-0.510, 0.391, 0.863),
(-0.509, 0.384, 0.848),
(-0.497, 0.391, 0.846),
(-0.495, 0.399, 0.839),
(-0.505, 0.402, 0.840),
(-0.504, 0.401, 0.844),
(-0.509, 0.400, 0.834),
(-0.519, 0.402, 0.824),
(-0.524, 0.406, 0.832),
(-0.502, 0.455, 0.875),
(-0.489, 0.517, 0.906),
(-0.477, 0.605, 0.916),
(-0.474, 0.698, 0.940),
(-0.465, 0.812, 0.961),
(-0.471, 0.835, 0.985),
(-0.460, 0.853, 0.982),
(-0.429, 0.841, 0.939),
(-0.481, 0.809, 0.946),
(-0.541, 0.787, 0.958),
(-0.513, 0.790, 1.018),
(-0.505, 0.775, 1.012),
(-0.528, 0.693, 0.958),
(-0.602, 0.680, 0.990),
(-0.363, 0.548, 1.099),
(-0.578, 0.298, 1.162),
(-0.417, 0.274, 1.158),
(-0.259, 0.225, 1.106),
(-0.175, 0.068, 1.099),
(-0.084, -0.147, 0.989),
(-0.049, -0.383, 0.784),
(-0.133, -0.427, 0.492),
(0.061, -0.343, 0.317),
(0.423, -0.230, 0.403),
(0.677, -0.153, 0.454),
(0.711, -0.066, 0.413),
(0.569, 0.027, 0.338),
(0.393, 0.128, 0.828),
(0.532, 0.172, 0.858),
(0.369, 0.169, 0.791),
(0.348, 0.175, 0.813),
(0.434, 0.183, 0.854),
(0.487, 0.152, 0.885),
(0.512, 0.140, 0.851),
(0.521, 0.149, 0.838),
(0.476, 0.126, 0.801),
(0.539, 0.096, 0.724),
(0.604, 0.023, 0.620),
(0.625, -0.033, 0.519),
(0.631, -0.035, 0.459),
(0.648, -0.108, 0.307),
(0.504, -0.283, 0.200),
(0.314, -0.384, 0.245),
(0.011, -0.408, 0.537),
(-0.307, -0.399, 0.691),
(-0.414, -0.397, 0.635),
(-0.361, -0.229, 0.821),
(-0.288, -0.031, 1.090),
(-0.386, 0.160, 1.244),
(-0.499, 0.298, 1.277),
(-0.577, 0.273, 1.086),
(-0.565, 0.658, 1.151),
(-0.447, 1.110, 1.247),
(-0.567, 0.976, 1.204),
(-0.463, 0.499, 0.750),
(-0.438, 0.519, 0.735),
(-0.435, 0.548, 0.736),
(-0.468, 0.553, 0.747),
(-0.483, 0.556, 0.773),
(-0.482, 0.548, 0.792),
(-0.475, 0.534, 0.810),
(-0.484, 0.518, 0.813),
(-0.497, 0.507, 0.817),
(-0.505, 0.496, 0.798),
(-0.516, 0.509, 0.770),
(-0.515, 0.511, 0.768),
(-0.521, 0.489, 0.779),
(-0.517, 0.492, 0.792),
(-0.521, 0.509, 0.802),
(-0.524, 0.501, 0.805),
(-0.523, 0.491, 0.808),
(-0.518, 0.503, 0.806),
(-0.511, 0.525, 0.798),
(-0.507, 0.556, 0.796),
(-0.484, 0.602, 0.801),
(-0.455, 0.673, 0.825),
(-0.446, 0.722, 0.840),
(-0.416, 0.760, 0.831),
(-0.396, 0.927, 0.857),
(-0.413, 0.923, 0.860),
(-0.464, 0.897, 0.807),
(-0.448, 0.867, 0.800),
(-0.454, 0.841, 0.817),
(-0.463, 0.800, 0.850),
(-0.433, 0.783, 0.897),
(-0.384, 0.795, 0.924),
(-0.368, 0.683, 0.921),
(-0.318, 0.606, 0.996),
(-0.228, 0.582, 1.010),
(-0.335, 0.470, 0.983),
(-0.022, 0.019, 1.024),
(-0.120, -0.100, 0.883),
(-0.097, -0.219, 0.731),
(0.060, -0.207, 0.684),
(0.262, -0.171, 0.755),
(0.419, -0.202, 0.678),
(0.575, -0.126, 0.558),
(0.596, -0.014, 0.723),
(0.688, 0.030, 0.651),
(0.587, 0.020, 0.625),
(0.551, -0.024, 0.607),
(0.552, -0.079, 0.589),
(0.485, -0.104, 0.744),
(0.504, -0.135, 0.774),
(0.419, -0.204, 0.703),
(0.272, -0.174, 0.803),
(0.145, 0.069, 1.007),
(0.046, -0.027, 0.903),
(-0.048, -0.016, 0.888),
(-0.023, 0.228, 1.008),
(-0.067, 0.368, 1.119),
(-0.183, 0.264, 0.998),
(-0.189, 0.157, 0.917),
(-0.083, 0.418, 1.050),
(-0.030, 0.645, 1.130),
(-0.158, 0.579, 1.023),
(-0.316, 0.480, 0.895),
(-0.304, 0.579, 0.892),
(-0.131, 0.731, 0.987),
(-0.170, 0.666, 0.933),
(-0.290, 0.566, 0.870),
(-0.318, 0.606, 0.790),
(-0.246, 0.777, 0.868),
(-0.244, 0.783, 0.860),
(-0.304, 0.743, 0.807),
(-0.253, 0.688, 0.787),
(-0.232, 0.710, 0.827),
(-0.240, 0.739, 0.865),
(-0.244, 0.737, 0.871),
(-0.239, 0.767, 0.886),
(-0.275, 0.725, 0.884),
(-0.301, 0.742, 0.865),
(-0.372, 0.748, 0.877),
(-0.355, 0.711, 0.897),
(-0.378, 0.667, 0.874),
(-0.417, 0.646, 0.900),
(-0.414, 0.625, 0.900),
(-0.432, 0.596, 0.918),
(-0.433, 0.574, 0.941),
(-0.425, 0.562, 0.969),
(-0.405, 0.535, 0.990),
(-0.381, 0.538, 0.997),
(-0.378, 0.560, 1.000),
(-0.379, 0.575, 0.987),
(-0.392, 0.558, 0.979),
(-0.385, 0.541, 0.980),
(-0.403, 0.604, 0.932),
(-0.338, 0.663, 0.913),
(-0.325, 0.645, 0.880),
(-0.300, 0.652, 0.866),
(-0.286, 0.703, 0.878),
(-0.247, 0.758, 0.899),
(-0.160, 0.535, 0.982),
(-0.181, 0.477, 1.020),
(-0.121, 0.376, 1.013),
(-0.153, 0.206, 0.987),
(-0.005, 0.092, 1.005),
(0.053, 0.145, 0.983),
(-0.031, 0.103, 0.952),
(0.014, 0.055, 0.936),
(-0.016, -0.000, 0.844),
(0.070, -0.030, 0.733),
(0.276, 0.016, 0.707),
(0.422, 0.032, 0.644),
(0.490, 0.023, 0.556),
(0.504, -0.009, 0.486),
(0.449, -0.026, 0.531),
(0.222, -0.049, 0.713),
(0.230, -0.028, 0.895),
(0.405, 0.012, 0.977),
(0.558, 0.043, 0.889),
(0.554, 0.043, 0.807),
(0.436, 0.024, 0.793),
(0.363, 0.027, 0.802),
(0.380, 0.008, 0.791),
(0.455, -0.039, 0.774),
(0.470, -0.092, 0.760),
(0.552, -0.106, 0.764),
(0.628, -0.077, 0.776),
(0.460, -0.104, 0.745),
(0.101, -0.154, 0.722),
(0.002, -0.100, 0.770),
(0.082, -0.056, 0.840),
(-0.012, 0.022, 0.945),
(-0.108, 0.235, 1.071),
(-0.097, 0.246, 1.052),
(-0.062, 0.235, 0.947),
(-0.156, 0.321, 0.982),
(-0.189, 0.468, 1.050),
(-0.093, 0.471, 1.048),
(-0.005, 0.371, 0.925),
(-0.055, 0.534, 0.928),
(-0.155, 0.517, 0.856),
(0.050, 0.648, 0.889),
(0.049, 0.663, 0.934),
(-0.227, 0.581, 0.895),
(-0.306, 0.608, 0.927),
(-0.383, 0.552, 0.926),
(-0.401, 0.535, 0.904),
(-0.390, 0.547, 0.928),
(-0.370, 0.585, 0.990),
(-0.386, 0.616, 1.043),
(-0.406, 0.594, 1.048),
(-0.372, 0.576, 1.069),
(-0.312, 0.612, 1.110),
(-0.341, 0.586, 1.140),
(-0.418, 0.498, 1.099),
(-0.460, 0.440, 1.019),
(-0.489, 0.409, 0.953),
(-0.521, 0.383, 0.888),
(-0.553, 0.324, 0.838),
(-0.583, 0.277, 0.823),
(-0.584, 0.231, 0.820),
(-0.560, 0.242, 0.823),
(-0.559, 0.305, 0.851),
(-0.496, 0.493, 0.970),
(-0.453, 0.568, 1.004),
(-0.419, 0.652, 1.052),
(-0.399, 0.710, 1.059),
(-0.386, 0.778, 0.998),
(-0.393, 0.800, 0.969),
(-0.374, 0.806, 0.929),
(-0.365, 0.844, 0.933),
(-0.410, 0.882, 0.935),
(-0.427, 0.813, 0.913),
(-0.402, 0.805, 1.024),
(-0.319, 0.561, 0.906),
(-0.357, 0.441, 0.921),
(-0.441, 0.469, 0.966),
(-0.467, 0.456, 0.909),
(-0.371, 0.188, 0.945),
(-0.205, 0.196, 1.032),
(0.157, 0.110, 1.065),
(0.186, 0.020, 0.938),
(-0.213, -0.100, 0.886),
(-0.226, -0.075, 0.870),
(0.311, -0.073, 0.963),
(0.316, -0.109, 0.887),
(0.065, -0.175, 0.818),
(0.074, -0.185, 0.779),
(0.289, -0.130, 0.905),
(0.529, -0.135, 0.949),
(0.537, -0.185, 0.769),
(0.315, -0.160, 0.668),
(0.437, -0.162, 0.618),
(0.600, -0.117, 0.585),
(0.426, -0.104, 0.659),
(0.178, -0.157, 0.813),
(0.289, -0.120, 0.876),
(0.481, -0.053, 0.867),
(0.406, -0.078, 0.769),
(0.427, -0.112, 0.712),
(0.502, -0.133, 0.665),
(0.499, -0.167, 0.657),
(0.357, -0.269, 0.755),
(0.252, -0.211, 0.885),
(0.171, -0.160, 0.907),
(0.170, -0.155, 0.888),
(0.061, -0.020, 0.990),
(-0.053, 0.107, 1.010),
(-0.191, 0.113, 0.980),
(-0.188, 0.151, 1.020),
(-0.135, 0.302, 1.073),
(-0.134, 0.408, 1.069),
(-0.186, 0.377, 0.988),
(-0.199, 0.312, 0.971),
(-0.208, 0.496, 1.084),
(-0.209, 0.595, 1.047),
(-0.218, 0.530, 1.004),
(-0.216, 0.474, 0.952),
(-0.166, 0.494, 0.934),
(-0.091, 0.615, 1.010),
(-0.173, 0.583, 0.983),
(-0.239, 0.480, 0.892),
(-0.295, 0.503, 0.880),
(-0.295, 0.521, 0.882),
(-0.308, 0.531, 0.890),
(-0.349, 0.568, 0.927),
(-0.352, 0.593, 0.932),
(-0.364, 0.589, 0.950),
(-0.363, 0.642, 1.013),
(-0.328, 0.677, 1.022),
(-0.293, 0.808, 1.062),
(-0.237, 0.822, 1.107),
(-0.272, 0.783, 1.145),
(-0.366, 0.724, 1.055),
(-0.433, 0.643, 0.986),
(-0.478, 0.530, 0.923),
(-0.519, 0.362, 0.846),
(-0.525, 0.341, 0.840),
(-0.517, 0.366, 0.860),
(-0.486, 0.406, 0.873),
(-0.473, 0.423, 0.920),
(-0.446, 0.446, 0.942),
(-0.384, 0.515, 0.990),
(-0.354, 0.554, 1.020),
(-0.357, 0.562, 1.042),
(-0.371, 0.566, 1.038),
(-0.373, 0.592, 1.021),
(-0.342, 0.621, 1.020),
(-0.325, 0.691, 1.097),
(-0.385, 0.640, 1.043),
(-0.366, 0.562, 1.002),
(-0.310, 0.546, 1.017),
(-0.284, 0.566, 1.079),
(-0.273, 0.586, 1.094),
(-0.291, 0.509, 1.064),
(0.004, -0.009, 1.024),
(0.105, -0.039, 1.033),
(0.096, -0.060, 0.956),
(0.093, -0.180, 0.883),
(0.135, -0.265, 0.792),
(0.235, -0.188, 0.819),
(0.347, -0.150, 0.800),
(0.410, -0.113, 0.824),
(0.347, -0.083, 0.722),
(0.301, -0.055, 0.680),
(0.307, -0.070, 0.676),
(0.353, -0.104, 0.702),
(0.357, -0.098, 0.740),
(0.334, -0.082, 0.801),
(0.303, -0.041, 0.899),
(0.310, -0.034, 0.897),
(0.391, -0.017, 0.837),
(0.370, -0.003, 0.841),
(0.358, -0.039, 0.779),
(0.349, -0.097, 0.741),
(0.337, -0.125, 0.701),
(0.028, -0.257, 0.690),
(-0.032, -0.287, 0.732),
(-0.040, -0.091, 0.954),
(-0.114, 0.166, 1.080),
(-0.163, 0.104, 1.043),
(-0.127, 0.022, 1.004),
(-0.114, 0.154, 1.129),
(-0.126, 0.355, 1.156),
(-0.126, 0.305, 1.117),
(-0.205, 0.285, 1.050),
(-0.244, 0.303, 1.039),
(-0.221, 0.578, 1.174),
(-0.280, 0.453, 0.999),
(-0.225, 0.486, 1.000),
(-0.254, 0.607, 1.036),
(-0.260, 0.628, 1.061),
(-0.311, 0.600, 0.971),
(-0.353, 0.540, 0.968),
(-0.378, 0.555, 1.030),
(-0.350, 0.588, 1.032),
(-0.263, 0.660, 1.001),
(-0.289, 0.633, 1.023),
(-0.288, 0.632, 0.987),
(-0.308, 0.689, 0.969),
(-0.359, 0.692, 0.956),
(-0.393, 0.654, 0.931),
(-0.404, 0.614, 0.905),
(-0.439, 0.564, 0.896),
(-0.460, 0.500, 0.892),
(-0.465, 0.455, 0.868),
(-0.462, 0.419, 0.858),
(-0.474, 0.395, 0.857),
(-0.477, 0.392, 0.874),
(-0.467, 0.373, 0.896),
(-0.463, 0.346, 0.880),
(-0.429, 0.439, 0.926),
(-0.417, 0.457, 0.931),
(-0.421, 0.439, 0.938),
(-0.430, 0.416, 0.938),
(-0.429, 0.428, 0.952),
(-0.423, 0.471, 0.961),
(-0.426, 0.513, 0.966),
(-0.416, 0.519, 0.959),
(-0.417, 0.516, 0.946),
(-0.395, 0.610, 0.939),
(-0.383, 0.584, 0.914),
(-0.382, 0.564, 0.891),
(-0.354, 0.578, 0.880),
(-0.296, 0.571, 0.908),
(-0.293, 0.539, 0.897),
(-0.320, 0.561, 0.939),
(-0.308, 0.568, 0.902),
(-0.215, 0.566, 0.939),
(-0.190, 0.504, 0.954),
(-0.205, 0.512, 0.998),
(-0.194, 0.562, 0.989),
(-0.162, 0.490, 0.904),
(-0.124, 0.483, 0.978),
(-0.115, 0.471, 1.072),
(-0.101, 0.403, 1.070),
(-0.201, 0.267, 1.002),
(-0.106, 0.256, 1.085),
(0.059, 0.292, 1.069),
(0.014, 0.204, 1.004),
(-0.091, 0.069, 0.990),
(-0.040, 0.033, 1.027),
(0.030, 0.058, 1.023),
(0.071, -0.017, 0.973),
(0.145, -0.071, 0.971),
(0.185, -0.091, 0.963),
(0.162, -0.102, 0.925),
(0.169, -0.090, 0.933),
(0.239, -0.094, 0.921),
(0.295, -0.079, 0.867),
(0.293, -0.065, 0.787),
(0.364, -0.064, 0.613),
(0.473, -0.067, 0.540),
(0.338, -0.073, 0.648),
(0.211, -0.068, 0.742),
(0.309, -0.036, 0.819),
(0.417, -0.014, 0.842),
(0.483, -0.047, 0.707),
(0.435, -0.082, 0.711),
(0.330, -0.156, 0.754),
(0.342, -0.249, 0.732),
(0.332, -0.107, 0.817),
(0.034, 0.030, 0.925),
(-0.145, -0.031, 0.871),
(-0.073, -0.113, 0.780),
(0.014, 0.007, 0.905),
(-0.019, 0.239, 1.070),
(-0.037, 0.286, 1.055),
(-0.044, 0.158, 1.002),
(-0.192, 0.204, 1.014),
(-0.209, 0.496, 1.115),
(-0.135, 0.672, 1.124),
(-0.246, 0.571, 1.008),
(-0.278, 0.531, 0.948),
(-0.184, 0.678, 1.010),
(-0.128, 0.657, 0.999),
(-0.202, 0.569, 0.963),
(-0.201, 0.623, 0.926),
(-0.122, 0.733, 0.979),
(-0.166, 0.699, 0.946),
(-0.261, 0.683, 0.897),
(-0.320, 0.674, 0.786),
(-0.368, 0.741, 0.736),
(-0.400, 0.774, 0.717),
(-0.405, 0.803, 0.702),
(-0.428, 0.763, 0.682),
(-0.383, 0.938, 0.741),
(-0.320, 0.920, 0.796),
(-0.310, 0.896, 0.877),
(-0.364, 0.804, 0.886),
(-0.423, 0.702, 0.824),
(-0.448, 0.624, 0.776),
(-0.460, 0.572, 0.764),
(-0.470, 0.532, 0.763),
(-0.444, 0.516, 0.760),
(-0.434, 0.510, 0.771),
(-0.451, 0.581, 0.809),
(-0.424, 0.667, 0.814),
(-0.395, 0.736, 0.846),
(-0.424, 0.674, 0.830),
(-0.401, 0.734, 0.892),
(-0.389, 0.734, 0.944),
(-0.366, 0.640, 0.905),
(-0.329, 0.433, 0.980),
(-0.211, 0.515, 0.990),
(-0.154, 0.514, 1.023),
(-0.292, 0.358, 0.962),
(-0.333, 0.283, 0.980),
(-0.230, 0.332, 1.027),
(-0.137, 0.399, 1.043),
(-0.187, 0.146, 1.009),
(-0.186, 0.076, 1.038),
(-0.156, 0.135, 1.063),
(-0.067, 0.143, 1.069),
(-0.037, 0.057, 1.113),
(-0.111, -0.037, 1.115),
(-0.113, -0.062, 1.017),
