(-0.500, -0.036, 0.921),
(-0.515, -0.039, 0.926),
(-0.525, -0.046, 0.922),
(-0.534, -0.049, 0.923),
(-0.536, -0.053, 0.927),
(-0.527, -0.074, 0.930),
(-0.523, -0.078, 0.930),
(-0.522, -0.089, 0.921),
(-0.518, -0.102, 0.917),
(-0.509, -0.105, 0.915),
(-0.502, -0.115, 0.909),
(-0.502, -0.119, 0.911),
(-0.506, -0.115, 0.914),
(-0.506, -0.116, 0.912),
(-0.505, -0.112, 0.912),
(-0.501, -0.107, 0.914),
(-0.496, -0.104, 0.909),
(-0.490, -0.099, 0.911),
(-0.507, -0.094, 0.907),
(-0.495, -0.101, 0.907),
(-0.485, -0.109, 0.900),
(-0.486, -0.115, 0.895),
(-0.490, -0.117, 0.894),
(-0.488, -0.124, 0.896),
(-0.476, -0.125, 0.903),
(-0.471, -0.132, 0.895),
(-0.469, -0.126, 0.902),
(-0.470, -0.129, 0.899),
(-0.481, -0.131, 0.897),
(-0.473, -0.125, 0.899),
(-0.469, -0.128, 0.902),
(-0.461, -0.126, 0.902),
(-0.461, -0.125, 0.900),
(-0.469, -0.124, 0.901),
(-0.465, -0.129, 0.894),
(-0.464, -0.128, 0.895),
(-0.461, -0.127, 0.894),
(-0.463, -0.121, 0.898),
(-0.463, -0.119, 0.901),
(-0.473, -0.121, 0.908),
(-0.477, -0.119, 0.914),
(-0.474, -0.118, 0.909),
(-0.475, -0.117, 0.912),
(-0.488, -0.112, 0.910),
(-0.498, -0.110, 0.907),
(-0.504, -0.108, 0.911),
(-0.502, -0.105, 0.913),
(-0.499, -0.106, 0.908),
(-0.497, -0.103, 0.908),
(-0.499, -0.098, 0.911),
(-0.500, -0.100, 0.910),
(-0.506, -0.101, 0.909),
(-0.510, -0.098, 0.908),
(-0.505, -0.104, 0.902),
(-0.513, -0.095, 0.903),
(-0.525, -0.094, 0.904),
(-0.528, -0.107, 0.903),
(-0.521, -0.111, 0.911),
(-0.513, -0.101, 0.919),
(-0.492, -0.085, 0.944),
(-0.479, -0.091, 0.942),
(-0.474, -0.089, 0.960),
(-0.465, -0.064, 0.984),
(-0.460, -0.057, 0.989),
(-0.445, -0.038, 1.043),
(-0.428, -0.007, 1.070),
(-0.438, 0.129, 1.124),
(-0.426, 0.194, 1.163),
(-0.421, 0.256, 1.182),
(-0.500, 0.397, 1.257),
(-0.523, 0.412, 1.286),
(-0.534, 0.426, 1.302),
(-0.576, 0.441, 1.302),
(-0.676, 0.426, 1.295),
(-0.697, 0.427, 1.312),
(-0.707, 0.424, 1.304),
(-0.721, 0.399, 1.299),
(-0.733, 0.401, 1.341),
(-0.823, 0.297, 1.410),
(-0.859, 0.260, 1.410),
(-0.878, 0.201, 1.386),
(-0.851, 0.074, 1.391),
(-0.830, 0.053, 1.378),
(-0.782, 0.053, 1.386),
(-0.737, -0.008, 1.336),
(-0.724, -0.047, 1.314),
(-0.719, -0.071, 1.289),
(-0.676, -0.090, 1.271),
(-0.461, -0.093, 1.211),
(-0.442, -0.118, 1.152),
(-0.397, -0.137, 1.114),
(-0.366, -0.165, 1.069),
(-0.244, -0.198, 0.960),
(-0.202, -0.212, 0.912),
(-0.148, -0.257, 0.871),
(-0.118, -0.277, 0.821),
(0.060, -0.314, 0.717),
(0.153, -0.305, 0.681),
(0.219, -0.337, 0.647),
(0.250, -0.369, 0.577),
(0.371, -0.484, 0.491),
(0.413, -0.565, 0.443),
(0.447, -0.644, 0.395),
(0.505, -0.696, 0.392),
(0.571, -0.728, 0.400),
(0.630, -0.762, 0.425),
(0.661, -0.812, 0.437),
(0.700, -0.842, 0.460),
(0.787, -0.869, 0.454),
(0.791, -0.854, 0.461),
(0.789, -0.821, 0.469),
(0.765, -0.785, 0.484),
(0.744, -0.694, 0.523),
(0.576, -0.397, 0.633),
(0.503, -0.339, 0.643),
(0.437, -0.276, 0.662),
(0.204, -0.188, 0.706),
(0.143, -0.166, 0.732),
(0.101, -0.152, 0.760),
(0.090, -0.120, 0.782),
(-0.079, -0.029, 0.888),
(-0.199, -0.027, 0.882),
(-0.229, 0.297, 1.073),
(-0.256, 0.330, 1.110),
(-0.272, 0.437, 1.082),
(-0.149, 0.518, 1.174),
(-0.123, 0.547, 1.257),
(-0.423, 0.489, 1.206),
(-0.438, 0.493, 1.182),
(-0.393, 0.468, 1.148),
(-0.354, 0.472, 1.138),
(-0.369, 0.467, 1.171),
(-0.445, 0.428, 1.147),
(-0.563, 0.390, 1.073),
(-0.654, 0.393, 1.068),
(-0.622, 0.326, 1.008),
(-0.600, 0.304, 0.992),
(-0.630, 0.270, 0.988),
(-0.708, 0.250, 0.958),
(-0.810, 0.233, 0.880),
(-0.810, 0.245, 0.879),
(-0.779, 0.251, 0.855),
(-0.770, 0.257, 0.844),
(-0.802, 0.313, 0.821),
(-0.820, 0.294, 0.807),
(-0.830, 0.297, 0.817),
(-0.818, 0.306, 0.835),
(-0.811, 0.319, 0.855),
(-0.955, 0.391, 0.951),
(-0.971, 0.375, 0.959),
(-0.927, 0.368, 1.008),
(-0.798, 0.364, 1.036),
(-0.771, 0.376, 1.039),
(-0.733, 0.365, 1.030),
(-0.699, 0.359, 1.026),
(-0.625, 0.312, 1.008),
(-0.606, 0.279, 1.000),
(-0.574, 0.232, 0.989),
(-0.552, 0.190, 0.974),
(-0.523, -0.036, 0.878),
(-0.534, -0.043, 0.881),
(-0.553, -0.066, 0.858),
(-0.551, -0.087, 0.825),
(-0.546, -0.090, 0.812),
(-0.548, -0.102, 0.800),
(-0.548, -0.110, 0.798),
(-0.557, -0.116, 0.797),
(-0.583, -0.122, 0.786),
(-0.564, -0.121, 0.797),
(-0.553, -0.116, 0.810),
(-0.550, -0.122, 0.810),
(-0.537, -0.133, 0.884),
(-0.533, -0.114, 0.906),
(-0.533, -0.092, 0.931),
(-0.513, -0.048, 0.981),
(-0.521, -0.013, 1.012),
(-0.523, -0.010, 1.037),
(-0.510, -0.001, 1.062),
(-0.443, 0.523, 1.429),
(-0.710, 0.748, 1.621),
(-0.823, 0.787, 1.624),
(-0.889, 0.766, 1.594),
(-1.044, 0.791, 1.657),
(-1.209, 0.778, 1.687),
(-1.354, 0.753, 1.715),
(-1.252, -0.023, 1.622),
(-1.161, -0.068, 1.547),
(-1.085, -0.125, 1.487),
(-0.896, -0.210, 1.245),
(-0.879, -0.271, 1.176),
(-0.828, -0.352, 1.067),
(-0.692, -0.372, 0.975),
(-0.410, -0.462, 0.832),
(0.528, -1.191, 0.385),
(0.629, -1.150, 0.410),
(0.685, -1.116, 0.453),
(0.830, -1.014, 0.491),
(0.891, -0.728, 0.579),
(0.812, -0.460, 0.695),
(0.418, -0.124, 0.781),
(0.332, -0.094, 0.798),
(0.238, -0.067, 0.831),
(0.015, -0.024, 0.871),
(-0.375, 0.321, 1.112),
(-0.409, 0.311, 1.106),
(-0.460, 0.314, 1.112),
(-0.607, 0.297, 1.122),
(-0.631, 0.283, 1.126),
(-0.915, 0.238, 1.099),
(-0.965, 0.294, 1.090),
(-1.027, 0.358, 1.090),
(-1.042, 0.527, 1.074),
(-0.992, 0.629, 1.064),
(-0.915, 0.723, 1.052),
(-0.850, 0.787, 1.050),
(-0.798, 0.809, 1.106),
(-0.478, -0.087, 1.020),
(-0.491, -0.112, 1.003),
(-0.488, -0.130, 0.993),
(-0.494, -0.152, 0.935),
(-0.497, -0.147, 0.927),
(-0.513, -0.148, 0.915),
(-0.533, -0.153, 0.908),
(-0.482, -0.254, 0.810),
(-0.464, -0.271, 0.835),
(-0.456, -0.288, 0.831),
(-0.448, -0.283, 0.871),
(-0.428, -0.300, 0.881),
(-0.420, -0.286, 0.914),
(-0.402, -0.247, 0.967),
(-0.323, 0.036, 1.389),
(-0.287, 0.096, 1.445),
(-0.282, 0.173, 1.523),
(-0.288, 0.254, 1.605),
(-0.326, 0.417, 1.740),
(-0.404, 0.497, 1.792),
(-0.513, 0.534, 1.806),
(-0.605, 0.562, 1.814),
(-0.698, 0.598, 1.887),
(-0.760, 0.593, 1.888),
(-0.879, 0.601, 1.875),
(-1.043, 0.595, 1.848),
(-1.413, 0.142, 1.852),
(-1.451, 0.018, 1.834),
(-1.417, -0.076, 1.818),
(-1.283, -0.221, 1.763),
(-1.235, -0.258, 1.722),
(-0.963, -0.246, 1.462),
(-0.671, -0.437, 1.164),
(-0.586, -0.477, 1.095),
(-0.191, -0.650, 0.814),
(-0.106, -0.743, 0.761),
(-0.017, -0.858, 0.738),
(0.151, -1.171, 0.653),
(0.807, -1.038, 0.465),
(0.773, -0.929, 0.480),
(0.754, -0.822, 0.515),
(0.699, -0.661, 0.583),
(0.626, -0.606, 0.600),
(0.563, -0.529, 0.651),
(0.269, -0.382, 0.729),
(0.180, -0.361, 0.734),
(0.086, -0.352, 0.748),
(-0.011, -0.327, 0.787),
(-0.046, -0.186, 0.903),
(-0.052, -0.085, 0.997),
(-0.125, -0.026, 1.053),
(-0.238, 0.008, 1.070),
(-0.389, 0.116, 1.097),
(-0.403, 0.188, 1.136),
(-0.407, 0.244, 1.157),
(-0.428, 0.281, 1.130),
(-0.592, 0.385, 1.176),
(-0.665, 0.383, 1.178),
(-0.703, 0.413, 1.181),
(-0.703, 0.443, 1.220),
(-0.945, 0.647, 1.118),
(-0.923, 0.352, 0.946),
(-0.918, 0.593, 0.962),
(-0.816, 0.627, 0.937),
(-0.732, 0.656, 0.900),
(-0.617, 0.625, 0.819),
(-0.595, 0.591, 0.785),
(-0.567, 0.545, 0.746),
(-0.659, 0.009, 0.857),
(-0.696, 0.024, 0.884),
(-0.696, 0.051, 0.909),
(-0.630, 0.151, 0.959),
(-0.607, 0.187, 0.966),
(-0.581, 0.213, 0.961),
(-0.567, 0.226, 0.964),
(-0.562, 0.236, 0.968),
(-0.525, 0.205, 0.933),
(-0.528, 0.120, 0.873),
(-0.564, 0.023, 0.827),
(-0.565, 0.010, 0.831),
(-0.565, -0.000, 0.841),
(-0.613, -0.098, 0.840),
(-0.614, -0.092, 0.835),
(-0.599, -0.080, 0.810),
(-0.597, -0.081, 0.799),
(-0.590, -0.083, 0.795),
(-0.598, -0.116, 0.772),
(-0.591, -0.116, 0.765),
(-0.580, -0.117, 0.768),
(-0.589, -0.125, 0.778),
(-0.567, -0.172, 0.802),
(-0.528, -0.185, 0.949),
(-0.516, -0.178, 0.974),
(-0.503, -0.197, 0.997),
(-0.495, 0.358, 1.688),
(-0.531, 0.505, 1.781),
(-0.577, 0.631, 1.849),
(-0.584, 0.772, 1.932),
(-0.556, 0.938, 2.057),
(-1.251, 1.240, 2.198),
(-1.408, 1.069, 2.144),
(-1.570, 0.885, 2.129),
(-1.902, 0.335, 2.040),
(-1.945, -0.121, 2.172),
(-2.067, -0.306, 2.163),
(-2.141, -0.469, 2.134),
(-2.065, -0.681, 1.994),
(-1.784, -1.184, 1.557),
(-1.298, -1.402, 1.219),
(-0.893, -1.546, 1.037),
(-0.438, -1.827, 0.542),
(-0.406, -1.835, 0.331),
(-0.270, -1.936, 0.109),
(-0.099, -2.049, -0.052),
(0.137, -2.122, -0.183),
(0.731, -1.043, 0.504),
(0.737, -0.942, 0.576),
(0.721, -0.848, 0.627),
(0.401, -0.601, 0.742),
(0.302, -0.541, 0.776),
(-0.052, -0.318, 0.945),
(-0.057, -0.247, 1.004),
(-0.082, -0.141, 1.086),
(-0.299, -0.007, 1.199),
(-0.365, 0.074, 1.243),
(-0.455, 0.158, 1.236),
(-0.553, 0.219, 1.212),
(-0.613, 0.259, 1.191),
(-1.124, 0.292, 1.126),
(-1.145, 0.392, 1.075),
(-1.090, 0.562, 1.040),
(-1.084, 1.008, 1.018),
(-1.002, 1.094, 0.990),
(-0.872, 1.190, 0.984),
(-0.755, 1.302, 0.968),
(-0.637, 1.383, 0.947),
(-0.596, 1.328, 0.953),
(-0.538, 1.239, 0.995),
(-0.531, 1.167, 1.109),
(-0.675, 0.728, 0.974),
(-0.703, 0.359, 0.949),
(-0.596, 0.444, 0.725),
(-0.586, 0.445, 0.677),
(-0.574, 0.434, 0.630),
(-0.502, 0.470, 0.586),
(-0.470, 0.493, 0.595),
(-0.453, 0.480, 0.607),
(-0.442, 0.449, 0.633),
(-0.484, 0.277, 0.663),
(-0.513, 0.249, 0.697),
(-0.726, 0.120, 0.749),
(-0.746, 0.132, 0.796),
(-0.763, 0.131, 0.824),
(-0.714, 0.174, 0.918),
(-0.677, 0.197, 0.956),
(-0.671, 0.197, 0.964),
(-0.683, 0.196, 0.974),
(-0.663, 0.218, 0.994),
(-0.574, 0.242, 0.963),
(-0.553, 0.233, 0.943),
(-0.551, 0.219, 0.922),
(-0.583, 0.148, 0.877),
(-0.593, 0.114, 0.861),
(-0.606, 0.085, 0.862),
(-0.615, 0.060, 0.882),
(-0.622, 0.004, 0.839),
(-0.633, -0.055, 0.811),
(-0.629, -0.074, 0.802),
(-0.638, -0.130, 0.769),
(-0.604, -0.019, 0.842),
(-0.609, -0.015, 0.871),
(-0.611, -0.010, 0.902),
(-0.584, -0.021, 0.965),
(-0.565, -0.024, 1.002),
(-0.542, -0.004, 1.033),
(-0.554, 0.093, 1.180),
(-0.523, 0.129, 1.232),
(-0.537, 0.198, 1.332),
(-0.551, 0.219, 1.397),
(-0.474, 1.001, 1.936),
(-0.514, 1.083, 1.973),
(-0.582, 1.146, 1.982),
(-0.680, 1.165, 1.995),
(-0.927, 0.999, 1.956),
(-1.055, 0.941, 1.970),
(-1.192, 0.839, 1.968),
(-1.318, 0.710, 1.980),
(-1.525, 0.367, 1.929),
(-1.567, 0.236, 1.911),
(-1.505, -0.121, 1.774),
(-1.494, -0.172, 1.712),
(-1.386, -0.319, 1.607),
(-1.352, -0.333, 1.602),
(-1.308, -0.344, 1.584),
(-1.154, -0.364, 1.412),
(-1.070, -0.379, 1.334),
(-0.997, -0.392, 1.279),
(-0.930, -0.462, 1.205),
(-0.848, -0.583, 1.144),
(-0.745, -0.729, 1.098),
(-0.596, -0.942, 1.046),
(-0.421, -1.175, 0.959),
(0.006, -1.595, 0.615),
(0.167, -1.714, 0.465),
(0.229, -1.762, 0.368),
(0.270, -1.772, 0.293),
(0.480, -1.753, 0.217),
(0.583, -1.657, 0.221),
(0.639, -1.556, 0.247),
(0.857, -1.362, 0.417),
(0.851, -1.248, 0.488),
(0.857, -1.156, 0.540),
(0.856, -1.069, 0.577),
(0.755, -0.880, 0.659),
(0.745, -0.781, 0.723),
(0.738, -0.705, 0.766),
(0.680, -0.654, 0.783),
(0.576, -0.577, 0.798),
(0.478, -0.557, 0.771),
(0.343, -0.513, 0.760),
(0.215, -0.453, 0.780),
(0.061, -0.359, 0.831),
(0.071, -0.274, 0.890),
(0.013, -0.210, 0.927),
(-0.052, -0.175, 0.925),
(-0.187, -0.059, 0.995),
(-0.261, -0.005, 1.012),
(-0.333, 0.030, 0.998),
(-0.352, 0.122, 1.036),
(-0.446, 0.203, 1.097),
(-0.654, 0.311, 1.170),
(-0.637, 0.332, 1.196),
(-0.653, 0.363, 1.222),
(-0.780, 0.306, 1.191),
(-0.831, 0.520, 0.988),
(-0.790, 0.601, 0.958),
(-0.708, 0.688, 0.934),
(-0.577, 0.865, 0.865),
(-0.400, 1.181, 0.899),
(-0.377, 1.225, 0.986),
(-0.362, 1.065, 0.994),
(-0.563, 0.620, 1.052),
(-0.639, 0.378, 1.123),
(-0.783, -0.256, 1.208),
(-0.833, -0.159, 1.193),
(-0.833, -0.018, 1.175),
(-0.649, 0.256, 1.047),
(-0.600, 0.289, 0.968),
(-0.568, 0.311, 0.899),
(-0.510, 0.331, 0.726),
(-0.491, 0.321, 0.674),
(-0.474, 0.321, 0.632),
(-0.458, 0.394, 0.724),
(-0.495, 0.388, 0.801),
(-0.521, 0.281, 0.811),
(-0.557, 0.149, 0.830),
(-0.603, -0.009, 0.820),
(-0.726, 0.026, 0.969),
(-0.690, 0.064, 0.968),
(-0.648, 0.088, 0.960),
(-0.607, 0.149, 0.910),
(-0.596, 0.152, 0.902),
(-0.568, 0.138, 0.885),
(-0.548, 0.125, 0.886),
(-0.585, -0.017, 0.875),
(-0.603, -0.021, 0.863),
(-0.612, -0.035, 0.846),
(-0.607, -0.053, 0.828),
(-0.603, -0.065, 0.807),
(-0.588, -0.055, 0.837),
(-0.581, -0.084, 0.801),
(-0.588, -0.152, 0.740),
(-0.602, -0.150, 0.730),
(-0.616, -0.186, 0.758),
(-0.606, -0.217, 0.843),
(-0.599, -0.199, 0.861),
(-0.578, -0.199, 0.879),
(-0.554, -0.220, 0.895),
(-0.535, -0.265, 0.888),
(-0.540, -0.291, 0.887),
(-0.556, -0.281, 0.930),
(-0.574, -0.302, 0.952),
(-0.482, -0.005, 1.220),
(-0.442, 0.040, 1.242),
(-0.410, 0.106, 1.264),
(-0.322, 0.396, 1.510),
(-0.301, 0.467, 1.548),
(-0.289, 0.502, 1.621),
(-0.280, 0.572, 1.727),
(-0.502, 0.608, 1.899),
(-1.050, 0.331, 2.051),
(-1.159, 0.230, 2.057),
(-1.180, 0.285, 2.090),
(-1.308, 0.560, 2.169),
(-1.356, 0.474, 2.161),
(-1.365, 0.238, 2.208),
(-1.363, -0.040, 2.423),
(-1.307, -0.332, 2.227),
(-1.394, -0.880, 2.104),
(-1.491, -1.196, 2.127),
(-1.305, -1.357, 1.934),
(-1.068, -1.257, 1.510),
(-1.203, -1.349, 1.347),
(-0.995, -1.590, 1.023),
(-0.775, -1.362, 0.952),
(-0.557, -1.189, 0.861),
(-0.312, -0.985, 0.755),
(-0.197, -1.001, 0.680),
(-0.003, -1.022, 0.595),
(0.359, -1.117, 0.379),
(0.502, -1.162, 0.193),
(0.629, -1.233, -0.009),
(0.710, -1.353, -0.246),
(0.828, -1.484, -0.475),
(0.963, -1.567, -0.606),
(1.018, -1.542, -0.584),
(1.047, -1.454, -0.515),
(1.156, -1.296, -0.372),
(1.172, -1.234, -0.305),
(1.186, -1.160, -0.261),
(1.174, -1.086, -0.215),
(1.121, -0.960, -0.101),
(1.119, -0.898, -0.032),
(1.110, -0.831, 0.037),
(1.074, -0.786, 0.082),
(0.922, -0.736, 0.129),
(0.834, -0.699, 0.149),
(0.743, -0.649, 0.190),
(0.645, -0.614, 0.216),
(0.533, -0.518, 0.270),
(0.441, -0.492, 0.314),
(0.333, -0.441, 0.359),
(0.243, -0.431, 0.385),
(0.109, -0.396, 0.481),
(0.054, -0.374, 0.561),
(0.023, -0.316, 0.642),
(-0.004, -0.264, 0.651),
(-0.162, -0.233, 0.795),
(-0.477, -0.131, 1.024),
(-0.509, -0.086, 1.090),
(-0.545, -0.029, 1.187),
(-0.809, 0.026, 1.252),
(-0.916, 0.039, 1.293),
(-0.984, 0.018, 1.326),
(-1.055, 0.057, 1.464),
(-1.061, 0.007, 1.486),
(-1.070, -0.017, 1.540),
(-1.131, 0.377, 1.755),
(-1.001, 0.477, 1.772),
(-1.036, 0.553, 1.586),
(-0.933, 0.510, 1.461),
(-0.824, 0.531, 1.351),
(-0.683, 0.635, 1.187),
(-0.634, 0.638, 1.101),
(-0.495, 0.391, 0.900),
(-0.534, 0.134, 0.941),
(-0.597, 0.118, 1.012),
(-0.736, -0.044, 1.285),
(-0.743, -0.030, 1.342),
(-0.741, -0.050, 1.318),
(-0.676, -0.125, 1.172),
(-0.615, -0.152, 1.075),
(-0.537, -0.142, 0.995),
(-0.470, -0.119, 0.922),
(-0.424, -0.048, 0.791),
(-0.353, 0.134, 0.564),
(-0.377, 0.240, 0.593),
(-0.404, 0.258, 0.653),
(-0.451, 0.242, 0.673),
(-0.496, 0.222, 0.696),
(-0.552, 0.185, 0.823),
(-0.614, 0.162, 0.873),
(-0.685, 0.094, 0.847),
(-0.737, 0.015, 0.823),
(-0.764, 0.009, 0.855),
(-0.708, 0.134, 0.916),
(-0.678, 0.158, 0.902),
(-0.651, 0.181, 0.903),
(-0.597, 0.193, 0.905),
(-0.563, 0.196, 0.918),
(-0.528, 0.189, 0.955),
(-0.505, 0.171, 0.971),
(-0.613, -0.092, 0.842),
(-0.595, -0.118, 0.846),
(-0.616, -0.076, 0.988),
(-0.611, -0.064, 1.012),
(-0.597, -0.048, 1.059),
(-0.536, 0.260, 1.526),
(-0.484, 0.366, 1.636),
(-0.390, 0.489, 1.704),
(-0.307, 0.662, 1.785),
(-0.193, 1.115, 2.053),
(-0.277, 1.289, 2.167),
(-0.429, 1.380, 2.233),
(-0.628, 1.412, 2.308),
(-1.200, 1.192, 2.236),
(-1.495, 1.066, 2.242),
(-1.708, 0.885, 2.273),
(-1.816, 0.679, 2.316),
(-2.084, 0.247, 2.280),
(-1.976, -0.635, 2.048),
(-1.960, -0.768, 1.972),
(-1.932, -0.805, 1.903),
(-1.699, -0.848, 1.880),
(-1.674, -0.891, 1.905),
(-1.680, -0.961, 1.845),
(-1.627, -1.028, 1.754),
(-0.765, -1.060, 1.198),
(0.370, -1.706, 0.606),
(0.463, -1.675, 0.475),
(0.561, -1.672, 0.381),
(0.912, -1.703, 0.175),
(1.026, -1.678, 0.161),
(1.062, -1.589, 0.183),
(1.059, -1.488, 0.215),
(1.077, -1.331, 0.276),
(1.068, -1.283, 0.315),
(1.042, -1.223, 0.357),
(1.025, -1.129, 0.426),
(0.961, -0.994, 0.490),
(0.878, -0.942, 0.522),
(0.817, -0.883, 0.559),
(0.774, -0.834, 0.607),
(0.746, -0.774, 0.647),
(0.711, -0.715, 0.670),
(0.648, -0.666, 0.700),
(0.570, -0.614, 0.712),
(0.406, -0.512, 0.712),
(0.300, -0.462, 0.717),
(0.184, -0.393, 0.755),
(0.104, -0.322, 0.817),
(0.010, -0.208, 0.913),
(-0.112, -0.172, 0.946),
(-0.315, 0.017, 1.062),
(-0.368, 0.079, 1.073),
(-0.398, 0.149, 1.136),
(-0.619, 0.237, 1.168),
(-0.613, 0.310, 1.203),
(-0.635, 0.355, 1.192),
(-0.667, 0.374, 1.204),
(-0.754, 0.390, 1.197),
(-0.807, 0.427, 1.183),
(-0.854, 0.458, 1.175),
(-0.870, 0.448, 1.166),
(-0.937, 0.413, 1.167),
(-0.993, 0.385, 1.177),
(-1.032, 0.418, 1.091),
(-1.026, 0.496, 1.016),
(-1.005, 0.524, 1.123),
(-1.117, 0.479, 1.100),
(-1.213, 0.476, 1.080),
(-1.189, 0.498, 1.061),
(-0.952, 0.615, 1.025),
(-0.651, 0.792, 0.916),
(-0.539, 0.809, 0.890),
(-0.440, 0.847, 0.864),
(-0.404, 0.907, 0.922),
(-0.478, 0.867, 0.957),
(-0.545, 0.808, 1.031),
(-0.572, 0.713, 1.049),
(-0.579, 0.539, 1.094),
(-0.619, 0.491, 1.144),
(-0.648, 0.439, 1.180),
(-0.703, 0.394, 1.204),
(-0.749, 0.360, 1.221),
(-0.737, 0.334, 1.219),
(-0.576, 0.303, 1.020),
(-0.403, 0.296, 0.700),
(-0.372, 0.296, 0.659),
(-0.351, 0.300, 0.633),
(-0.668, 0.048, 0.924),
(-0.673, 0.002, 0.942),
(-0.672, -0.030, 0.951),
(-0.674, -0.054, 0.950),
(-0.697, -0.037, 0.961),
(-0.691, -0.010, 0.967),
(-0.684, 0.011, 0.961),
(-0.644, 0.079, 0.905),
(-0.629, 0.094, 0.891),
(-0.611, 0.106, 0.881),
(-0.531, 0.105, 0.834),
(-0.539, 0.123, 0.830),
