(-0.356, 0.531, 0.833),
(-0.338, 0.555, 0.844),
(-0.309, 0.553, 0.873),
(-0.306, 0.553, 0.879),
(-0.303, 0.567, 0.882),
(-0.295, 0.596, 0.888),
(-0.298, 0.627, 0.876),
(-0.297, 0.644, 0.870),
(-0.288, 0.662, 0.850),
(-0.280, 0.694, 0.851),
(-0.270, 0.688, 0.854),
(-0.329, 0.625, 0.892),
(-0.332, 0.663, 0.889),
(-0.344, 0.700, 0.876),
(-0.367, 0.806, 0.854),
(-0.390, 0.849, 0.847),
(-0.399, 0.877, 0.839),
(-0.416, 0.901, 0.820),
(-0.422, 0.894, 0.810),
(-0.421, 0.871, 0.796),
(-0.441, 0.848, 0.817),
(-0.442, 0.836, 0.869),
(-0.431, 0.744, 0.874),
(-0.438, 0.729, 0.880),
(-0.445, 0.728, 0.895),
(-0.421, 0.750, 0.905),
(-0.395, 0.797, 0.984),
(-0.389, 0.760, 0.949),
(-0.358, 0.618, 0.901),
(-0.315, 0.573, 0.960),
(-0.327, 0.535, 1.008),
(-0.299, 0.534, 1.028),
(-0.271, 0.532, 1.061),
(-0.229, 0.551, 1.087),
(-0.071, 0.572, 1.080),
(-0.042, 0.464, 1.034),
(-0.104, 0.379, 1.007),
(-0.191, 0.369, 1.000),
(-0.246, 0.279, 0.983),
(-0.233, 0.288, 0.975),
(-0.205, 0.333, 1.031),
(-0.146, 0.361, 1.090),
(-0.021, 0.355, 0.988),
(-0.029, 0.335, 1.030),
(-0.063, 0.318, 1.041),
(-0.096, 0.290, 1.051),
(-0.088, 0.241, 1.025),
(-0.041, 0.209, 0.981),
(0.007, 0.186, 0.985),
(0.087, 0.164, 1.013),
(0.127, 0.111, 0.960),
(0.096, 0.047, 0.938),
(-0.001, -0.001, 0.875),
(-0.111, 0.004, 0.823),
(0.013, 0.072, 0.923),
(0.102, 0.081, 0.923),
(0.186, 0.046, 0.918),
(0.237, -0.011, 0.888),
(0.254, -0.083, 0.787),
(0.255, -0.085, 0.751),
(0.317, -0.093, 0.705),
(0.406, -0.062, 0.677),
(0.527, -0.014, 0.579),
(0.530, -0.009, 0.559),
(0.511, -0.005, 0.601),
(0.487, 0.005, 0.655),
(0.511, 0.049, 0.558),
(0.562, 0.049, 0.526),
(0.589, 0.049, 0.524),
(0.561, 0.071, 0.535),
(0.379, -0.003, 0.646),
(0.387, -0.010, 0.642),
(0.461, 0.001, 0.661),
(0.526, 0.010, 0.713),
(0.577, 0.025, 0.739),
(0.601, 0.033, 0.742),
(0.600, 0.026, 0.743),
(0.605, 0.038, 0.721),
(0.453, -0.031, 0.710),
(0.409, -0.075, 0.678),
(0.382, -0.095, 0.676),
(0.344, -0.097, 0.734),
(0.329, -0.043, 0.824),
(0.315, -0.029, 0.847),
(0.293, -0.026, 0.857),
(0.292, -0.054, 0.827),
(0.241, -0.120, 0.790),
(0.190, -0.124, 0.864),
(0.153, -0.092, 0.946),
(0.133, -0.029, 1.057),
(0.085, 0.042, 1.105),
(0.100, 0.008, 1.048),
(0.099, 0.004, 0.994),
(0.117, 0.012, 0.918),
(0.104, 0.080, 0.921),
(0.034, 0.206, 1.050),
(-0.015, 0.289, 1.130),
(-0.061, 0.312, 1.109),
(-0.077, 0.334, 1.091),
(-0.001, 0.295, 1.027),
(0.046, 0.254, 0.932),
(0.048, 0.236, 0.949),
(-0.028, 0.344, 1.010),
(-0.056, 0.412, 1.041),
(-0.047, 0.496, 1.060),
(-0.031, 0.612, 1.080),
(0.025, 0.504, 1.044),
(0.018, 0.449, 1.021),
(-0.011, 0.431, 0.960),
(-0.065, 0.436, 0.929),
(-0.119, 0.430, 0.925),
(-0.153, 0.448, 0.908),
(-0.174, 0.504, 0.920),
(-0.067, 0.686, 0.959),
(-0.058, 0.646, 0.896),
(-0.110, 0.562, 0.838),
(-0.110, 0.582, 0.876),
(-0.053, 0.625, 0.846),
(-0.043, 0.642, 0.864),
(-0.053, 0.679, 0.923),
(-0.072, 0.688, 0.915),
(-0.065, 0.670, 0.913),
(-0.089, 0.660, 0.925),
(-0.092, 0.626, 0.917),
(-0.065, 0.620, 0.967),
(-0.089, 0.577, 0.917),
(-0.136, 0.570, 0.914),
(-0.162, 0.621, 0.942),
(-0.155, 0.576, 0.911),
(-0.148, 0.550, 0.903),
(-0.142, 0.592, 0.957),
(-0.129, 0.604, 0.981),
(-0.164, 0.530, 0.937),
(-0.189, 0.521, 0.951),
(-0.183, 0.493, 0.938),
(-0.193, 0.454, 0.920),
(-0.209, 0.448, 0.954),
(-0.212, 0.484, 0.963),
(-0.215, 0.510, 0.977),
(-0.211, 0.527, 0.972),
(-0.208, 0.530, 0.952),
(-0.207, 0.537, 0.949),
(-0.213, 0.515, 0.923),
(-0.222, 0.500, 0.936),
(-0.246, 0.520, 0.935),
(-0.236, 0.515, 0.910),
(-0.222, 0.540, 0.911),
(-0.214, 0.576, 0.921),
(-0.199, 0.543, 0.931),
(-0.198, 0.510, 0.919),
(-0.197, 0.509, 0.919),
(-0.194, 0.529, 0.926),
(-0.182, 0.543, 0.924),
(-0.188, 0.561, 0.923),
(-0.192, 0.563, 0.902),
(-0.205, 0.565, 0.899),
(-0.216, 0.560, 0.900),
(-0.212, 0.550, 0.888),
(-0.199, 0.564, 0.886),
(-0.201, 0.553, 0.877),
(-0.209, 0.571, 0.885),
(-0.223, 0.572, 0.890),
(-0.233, 0.570, 0.894),
(-0.232, 0.588, 0.903),
(-0.261, 0.594, 0.888),
(-0.271, 0.590, 0.883),
(-0.273, 0.582, 0.877),
(-0.269, 0.583, 0.879),
(-0.290, 0.578, 0.900),
(-0.280, 0.606, 0.922),
(-0.285, 0.618, 0.921),
(-0.284, 0.662, 0.917),
(-0.289, 0.681, 0.928),
(-0.285, 0.699, 0.923),
(-0.294, 0.724, 0.920),
(-0.310, 0.744, 0.932),
(-0.319, 0.720, 0.939),
(-0.347, 0.698, 0.961),
(-0.355, 0.678, 0.975),
(-0.354, 0.664, 1.000),
(-0.337, 0.626, 0.984),
(-0.324, 0.598, 0.988),
(-0.346, 0.613, 0.999),
(-0.342, 0.625, 0.997),
(-0.333, 0.592, 1.000),
(-0.330, 0.588, 1.004),
(-0.277, 0.584, 1.031),
(-0.268, 0.565, 1.020),
(-0.252, 0.567, 1.029),
(-0.212, 0.569, 0.996),
(-0.229, 0.576, 1.002),
(-0.257, 0.576, 1.003),
(-0.270, 0.572, 1.017),
(-0.161, 0.535, 1.028),
(-0.091, 0.450, 0.964),
(-0.083, 0.443, 0.992),
(-0.092, 0.439, 1.058),
(-0.139, 0.293, 0.962),
(-0.198, 0.281, 0.945),
(-0.225, 0.307, 0.962),
(-0.182, 0.299, 0.984),
(-0.022, 0.311, 0.999),
(0.041, 0.297, 0.975),
(0.098, 0.263, 1.010),
(0.140, 0.212, 1.038),
(0.014, 0.194, 0.988),
(-0.036, 0.206, 0.969),
(-0.036, 0.223, 0.976),
(-0.017, 0.200, 0.971),
(0.033, 0.203, 1.009),
(0.027, 0.191, 1.036),
(0.063, 0.218, 1.091),
(0.150, 0.194, 1.096),
(0.266, 0.050, 0.990),
(0.230, -0.031, 0.930),
(0.175, -0.091, 0.887),
(0.146, -0.101, 0.853),
(0.135, -0.078, 0.850),
(0.159, -0.037, 0.835),
(0.227, -0.038, 0.788),
(0.303, -0.075, 0.716),
(0.585, -0.017, 0.510),
(0.579, -0.007, 0.557),
(0.534, 0.015, 0.598),
(0.475, 0.025, 0.613),
(0.448, -0.010, 0.522),
(0.551, 0.010, 0.462),
(0.653, 0.034, 0.443),
(0.719, 0.059, 0.430),
(0.740, 0.101, 0.436),
(0.670, 0.106, 0.515),
(0.614, 0.106, 0.552),
(0.590, 0.103, 0.543),
(0.630, 0.115, 0.586),
(0.650, 0.120, 0.649),
(0.624, 0.114, 0.740),
(0.596, 0.079, 0.795),
(0.624, 0.090, 0.731),
(0.704, 0.103, 0.671),
(0.752, 0.092, 0.619),
(0.690, 0.069, 0.592),
(0.610, 0.014, 0.562),
(0.562, -0.033, 0.540),
(0.556, -0.048, 0.537),
(0.561, -0.061, 0.557),
(0.617, -0.108, 0.558),
(0.642, -0.128, 0.505),
(0.681, -0.134, 0.463),
(0.707, -0.141, 0.447),
(0.641, -0.169, 0.574),
(0.496, -0.179, 0.727),
(0.312, -0.146, 0.863),
(0.168, -0.126, 0.913),
(0.092, -0.222, 0.781),
(0.209, -0.224, 0.759),
(0.329, -0.153, 0.756),
(0.389, -0.040, 0.783),
(0.275, 0.107, 0.932),
(-0.024, 0.115, 1.009),
(-0.072, 0.320, 0.973),
(-0.111, 0.293, 1.003),
(-0.173, 0.319, 1.051),
(-0.305, 0.578, 1.129),
(-0.267, 0.600, 1.114),
(-0.236, 0.575, 1.061),
(-0.181, 0.609, 1.027),
(-0.117, 0.551, 1.012),
(-0.115, 0.574, 1.026),
(-0.114, 0.618, 1.032),
(-0.128, 0.683, 1.051),
(-0.163, 0.714, 1.043),
(-0.216, 0.756, 1.058),
(-0.232, 0.729, 1.029),
(-0.217, 0.692, 0.997),
(-0.062, 0.733, 1.007),
(-0.059, 0.669, 0.962),
(-0.137, 0.611, 0.967),
(-0.164, 0.622, 0.963),
(-0.203, 0.668, 1.005),
(-0.193, 0.578, 0.926),
(-0.211, 0.589, 0.906),
(-0.251, 0.659, 0.918),
(-0.339, 0.704, 0.870),
(-0.339, 0.714, 0.849),
(-0.329, 0.711, 0.842),
(-0.336, 0.715, 0.842),
(-0.310, 0.682, 0.786),
(-0.322, 0.729, 0.814),
(-0.344, 0.726, 0.799),
(-0.368, 0.736, 0.766),
(-0.378, 0.780, 0.762),
(-0.385, 0.794, 0.768),
(-0.382, 0.771, 0.744),
(-0.341, 0.780, 0.760),
(-0.293, 0.789, 0.791),
(-0.270, 0.791, 0.803),
(-0.246, 0.798, 0.821),
(-0.240, 0.800, 0.833),
(-0.243, 0.800, 0.853),
(-0.249, 0.795, 0.863),
(-0.266, 0.785, 0.884),
(-0.286, 0.729, 0.869),
(-0.288, 0.691, 0.862),
(-0.301, 0.672, 0.857),
(-0.304, 0.650, 0.842),
(-0.311, 0.641, 0.841),
(-0.302, 0.623, 0.831),
(-0.304, 0.632, 0.835),
(-0.300, 0.641, 0.846),
(-0.295, 0.647, 0.844),
(-0.271, 0.654, 0.850),
(-0.267, 0.660, 0.874),
(-0.269, 0.652, 0.886),
(-0.273, 0.640, 0.900),
(-0.302, 0.659, 0.942),
(-0.315, 0.637, 0.939),
(-0.323, 0.624, 0.950),
(-0.336, 0.625, 0.963),
(-0.343, 0.638, 0.965),
(-0.335, 0.633, 0.997),
(-0.339, 0.633, 0.979),
(-0.335, 0.588, 0.940),
(-0.335, 0.568, 0.976),
(-0.335, 0.546, 0.999),
(-0.322, 0.539, 0.996),
(-0.310, 0.552, 1.014),
(-0.365, 0.586, 1.061),
(-0.383, 0.569, 1.010),
(-0.382, 0.534, 0.976),
(-0.361, 0.519, 0.998),
(-0.324, 0.523, 1.076),
(-0.299, 0.538, 1.096),
(-0.266, 0.517, 1.092),
(-0.249, 0.503, 1.076),
(-0.259, 0.458, 1.010),
(-0.295, 0.402, 1.028),
(-0.329, 0.383, 1.056),
(-0.363, 0.361, 1.061),
(-0.338, 0.356, 1.094),
(-0.276, 0.377, 1.114),
(-0.187, 0.372, 1.089),
(-0.093, 0.349, 1.045),
(-0.025, 0.356, 1.081),
(-0.097, 0.307, 1.093),
(-0.189, 0.252, 1.058),
(-0.259, 0.209, 1.009),
(-0.263, 0.208, 0.962),
(-0.243, 0.247, 1.014),
(-0.218, 0.302, 1.097),
(-0.126, 0.329, 1.129),
(0.023, 0.315, 1.098),
(0.046, 0.052, 0.925),
(-0.040, 0.071, 0.896),
(-0.085, 0.083, 0.872),
(0.132, -0.031, 0.805),
(0.213, -0.026, 0.824),
(0.261, 0.005, 0.861),
(0.290, 0.010, 0.879),
(0.238, -0.038, 0.897),
(0.272, -0.043, 0.798),
(0.373, -0.042, 0.705),
(0.454, -0.026, 0.667),
(0.497, 0.036, 0.679),
(0.510, 0.047, 0.662),
(0.540, 0.046, 0.596),
(0.617, 0.041, 0.537),
(0.708, 0.092, 0.544),
(0.605, 0.091, 0.583),
(0.486, 0.062, 0.595),
(0.415, 0.029, 0.601),
(0.360, 0.090, 0.688),
(0.353, 0.112, 0.721),
(0.343, 0.117, 0.776),
(0.321, 0.099, 0.828),
(0.427, 0.106, 0.812),
(0.506, 0.149, 0.773),
(0.543, 0.170, 0.781),
(0.537, 0.166, 0.773),
(0.443, 0.140, 0.745),
(0.384, 0.104, 0.751),
(0.375, 0.050, 0.740),
(0.421, 0.023, 0.708),
(0.471, 0.022, 0.697),
(0.506, -0.003, 0.707),
(0.534, -0.041, 0.686),
(0.518, -0.061, 0.673),
(0.271, -0.083, 0.697),
(0.192, -0.093, 0.725),
(0.144, -0.108, 0.718),
(0.131, -0.131, 0.667),
(0.088, -0.199, 0.592),
(0.035, -0.217, 0.678),
(0.010, -0.198, 0.834),
(0.016, -0.111, 0.998),
(-0.025, 0.050, 1.028),
(-0.066, 0.079, 0.983),
(-0.117, 0.064, 0.903),
(-0.188, 0.067, 0.903),
(-0.279, 0.219, 0.961),
(-0.263, 0.287, 0.993),
(-0.275, 0.312, 1.018),
(-0.309, 0.354, 1.033),
(-0.330, 0.410, 1.042),
(-0.304, 0.410, 0.993),
(-0.305, 0.411, 0.963),
(-0.344, 0.379, 0.999),
(-0.344, 0.460, 1.075),
(-0.315, 0.529, 1.059),
(-0.332, 0.549, 0.984),
(-0.347, 0.619, 1.013),
(-0.255, 0.658, 1.082),
(-0.229, 0.594, 1.046),
(-0.271, 0.570, 0.979),
(-0.332, 0.507, 0.924),
(-0.372, 0.493, 0.975),
(-0.356, 0.590, 0.963),
(-0.382, 0.567, 0.887),
(-0.371, 0.525, 0.889),
(-0.288, 0.486, 0.924),
(-0.261, 0.460, 0.874),
(-0.273, 0.467, 0.921),
(-0.240, 0.506, 0.915),
(-0.184, 0.498, 0.934),
(-0.236, 0.505, 0.967),
(-0.286, 0.530, 1.027),
(-0.318, 0.511, 1.054),
(-0.298, 0.518, 1.062),
(-0.301, 0.484, 1.075),
(-0.324, 0.446, 1.061),
(-0.360, 0.444, 1.044),
(-0.386, 0.522, 1.086),
(-0.387, 0.547, 1.078),
(-0.430, 0.506, 1.037),
(-0.418, 0.488, 1.011),
(-0.431, 0.504, 1.005),
(-0.463, 0.532, 0.990),
(-0.489, 0.506, 0.987),
(-0.463, 0.507, 0.979),
(-0.442, 0.511, 0.954),
(-0.443, 0.522, 0.939),
(-0.444, 0.519, 0.911),
(-0.412, 0.513, 0.884),
(-0.411, 0.551, 0.895),
(-0.421, 0.539, 0.882),
(-0.409, 0.554, 0.868),
(-0.411, 0.535, 0.860),
(-0.430, 0.535, 0.848),
(-0.442, 0.542, 0.865),
(-0.421, 0.514, 0.874),
(-0.416, 0.503, 0.885),
(-0.413, 0.500, 0.897),
(-0.427, 0.494, 0.909),
(-0.427, 0.470, 0.911),
(-0.419, 0.458, 0.924),
(-0.423, 0.446, 0.929),
(-0.419, 0.439, 0.932),
(-0.444, 0.491, 0.955),
(-0.453, 0.525, 0.955),
(-0.435, 0.535, 0.950),
(-0.439, 0.552, 0.941),
(-0.460, 0.572, 0.944),
(-0.450, 0.582, 0.966),
(-0.435, 0.567, 0.967),
(-0.440, 0.581, 0.969),
(-0.465, 0.593, 0.950),
(-0.473, 0.596, 0.954),
(-0.484, 0.589, 0.951),
(-0.478, 0.579, 0.946),
(-0.447, 0.590, 0.966),
(-0.421, 0.612, 0.978),
(-0.425, 0.638, 1.018),
(-0.438, 0.657, 1.033),
(-0.419, 0.609, 1.000),
(-0.433, 0.605, 1.013),
(-0.445, 0.590, 1.007),
(-0.420, 0.585, 0.999),
(-0.379, 0.571, 1.016),
(-0.406, 0.577, 1.046),
(-0.410, 0.600, 1.041),
(-0.369, 0.608, 1.032),
(-0.208, 0.630, 1.063),
(-0.164, 0.543, 1.041),
(-0.225, 0.528, 1.071),
(-0.287, 0.514, 1.057),
(-0.373, 0.435, 0.927),
(-0.400, 0.440, 0.916),
(-0.422, 0.455, 0.944),
(-0.424, 0.466, 0.996),
(-0.195, 0.340, 0.928),
(-0.154, 0.271, 0.964),
(-0.129, 0.268, 0.991),
(-0.093, 0.258, 0.983),
(-0.135, 0.263, 1.020),
(-0.216, 0.300, 0.958),
(-0.331, 0.323, 0.920),
(-0.444, 0.333, 0.891),
(-0.521, 0.352, 0.914),
(-0.381, 0.335, 0.924),
(-0.175, 0.311, 0.924),
(-0.022, 0.277, 0.947),
(0.139, 0.176, 0.997),
(0.137, 0.107, 0.967),
(0.057, 0.049, 0.913),
(-0.027, 0.031, 0.888),
(-0.137, -0.006, 0.845),
(-0.140, -0.001, 0.856),
(-0.128, 0.010, 0.838),
(-0.082, -0.010, 0.800),
(0.112, -0.071, 0.760),
(0.208, -0.060, 0.760),
(0.285, -0.029, 0.774),
(0.327, -0.034, 0.784),
(0.396, -0.009, 0.703),
(0.441, -0.007, 0.591),
(0.478, 0.029, 0.549),
(0.495, 0.031, 0.475),
(0.434, -0.039, 0.479),
(0.328, -0.060, 0.571),
(0.187, -0.071, 0.700),
(0.101, -0.059, 0.811),
(0.135, -0.035, 0.882),
(0.199, -0.010, 0.962),
(0.203, 0.007, 1.026),
(0.173, 0.022, 1.074),
(0.285, 0.079, 1.052),
(0.406, 0.142, 0.839),
(0.360, 0.114, 0.859),
(0.298, 0.074, 0.878),
(0.235, 0.032, 0.908),
(0.289, 0.041, 0.900),
(0.345, 0.037, 0.895),
(0.368, 0.029, 0.882),
(0.331, 0.030, 0.884),
(0.302, 0.032, 0.869),
(0.291, 0.028, 0.837),
(0.302, 0.000, 0.839),
(0.314, -0.042, 0.818),
(0.299, -0.034, 0.853),
(0.267, -0.007, 0.893),
(0.214, 0.011, 0.934),
(0.181, 0.010, 0.881),
(0.174, -0.018, 0.790),
(0.142, -0.053, 0.719),
(0.118, -0.091, 0.704),
(-0.021, 0.104, 0.967),
(-0.094, 0.182, 1.052),
(-0.146, 0.177, 1.048),
(-0.146, 0.149, 0.990),
(0.017, 0.113, 0.844),
(0.073, 0.112, 0.823),
(0.051, 0.146, 0.895),
(0.013, 0.243, 1.007),
(-0.038, 0.330, 1.036),
(-0.114, 0.367, 1.018),
(-0.166, 0.357, 0.998),
(-0.177, 0.334, 0.973),
(-0.024, 0.405, 0.934),
(0.020, 0.436, 0.960),
(0.040, 0.482, 0.989),
(0.006, 0.551, 1.017),
(-0.098, 0.417, 1.029),
(-0.121, 0.363, 0.966),
(-0.131, 0.333, 0.936),
(-0.143, 0.343, 0.942),
(-0.118, 0.379, 0.932),
(-0.121, 0.454, 0.933),
(-0.141, 0.502, 0.960),
(-0.151, 0.488, 0.927),
(-0.175, 0.467, 0.898),
(-0.225, 0.438, 0.867),
(-0.276, 0.448, 0.872),
(-0.315, 0.496, 0.922),
(-0.322, 0.569, 0.904),
(-0.233, 0.526, 0.868),
(-0.395, 0.649, 0.901),
(-0.368, 0.711, 0.931),
(-0.328, 0.739, 0.959),
(-0.290, 0.738, 0.957),
(-0.305, 0.809, 0.989),
(-0.277, 0.792, 0.988),
(-0.268, 0.781, 1.001),
(-0.270, 0.794, 1.057),
(-0.285, 0.760, 1.023),
(-0.273, 0.771, 1.039),
(-0.275, 0.757, 1.024),
(-0.265, 0.741, 1.018),
(-0.281, 0.707, 0.985),
(-0.278, 0.708, 0.994),
(-0.290, 0.661, 0.974),
(-0.280, 0.662, 0.972),
(-0.301, 0.714, 0.978),
(-0.303, 0.698, 0.943),
(-0.285, 0.719, 0.946),
(-0.291, 0.708, 0.928),
(-0.313, 0.695, 0.921),
(-0.325, 0.643, 0.919),
(-0.327, 0.620, 0.913),
(-0.327, 0.628, 0.926),
(-0.335, 0.575, 0.924),
(-0.340, 0.567, 0.928),
(-0.340, 0.555, 0.919),
(-0.347, 0.553, 0.919),
(-0.354, 0.551, 0.932),
(-0.361, 0.537, 0.918),
(-0.360, 0.549, 0.920),
(-0.344, 0.566, 0.923),
(-0.344, 0.587, 0.927),
(-0.337, 0.613, 0.927),
(-0.328, 0.625, 0.931),
(-0.328, 0.629, 0.933),
(-0.345, 0.607, 0.934),
(-0.343, 0.599, 0.929),
(-0.332, 0.611, 0.940),
(-0.326, 0.626, 0.945),
(-0.334, 0.628, 0.961),
(-0.326, 0.654, 0.963),
(-0.308, 0.670, 0.967),
(-0.284, 0.692, 0.980),
(-0.275, 0.684, 0.984),
(-0.270, 0.667, 0.989),
(-0.273, 0.660, 1.010),
(-0.283, 0.645, 0.971),
(-0.282, 0.595, 0.971),
(-0.278, 0.597, 0.972),
(-0.261, 0.606, 0.983),
(-0.259, 0.613, 1.001),
(-0.290, 0.642, 1.011),
(-0.281, 0.652, 1.021),
(-0.211, 0.679, 1.066),
(-0.125, 0.679, 1.096),
(-0.067, 0.633, 1.089),
(-0.065, 0.561, 1.064),
(-0.118, 0.514, 1.064),
(-0.189, 0.449, 1.078),
(-0.264, 0.317, 0.981),
(-0.298, 0.303, 0.930),
(-0.325, 0.318, 0.935),
(-0.294, 0.355, 0.948),
(-0.156, 0.368, 0.979),
(-0.079, 0.341, 0.980),
(-0.004, 0.277, 0.969),
(0.077, 0.221, 0.979),
(0.105, 0.131, 0.949),
(0.029, 0.123, 0.933),
(-0.091, 0.146, 0.953),
(-0.217, 0.154, 0.954),
(-0.097, 0.060, 0.784),
(0.042, 0.055, 0.767),
(0.185, 0.075, 0.780),
(0.276, 0.055, 0.777),
(0.127, -0.057, 0.791),
(0.009, -0.057, 0.809),
(-0.029, -0.040, 0.801),
(0.029, -0.008, 0.792),
(0.304, 0.055, 0.756),
(0.376, 0.101, 0.772),
(0.354, 0.105, 0.825),
(0.319, 0.026, 0.737),
(0.403, 0.028, 0.673),
(0.521, 0.086, 0.656),
(0.625, 0.129, 0.599),
(0.625, 0.099, 0.548),
(0.613, 0.089, 0.573),
(0.570, 0.076, 0.596),
(0.547, 0.058, 0.599),
(0.534, 0.064, 0.626),
(0.522, 0.081, 0.669),
(0.483, 0.078, 0.711),
(0.466, 0.038, 0.771),
(0.481, 0.056, 0.770),
(0.511, 0.078, 0.760),
(0.523, 0.083, 0.748),
(0.484, 0.031, 0.746),
(0.429, 0.002, 0.788),
(0.362, -0.022, 0.799),
(0.306, -0.037, 0.784),
(0.340, -0.022, 0.735),
(0.368, -0.042, 0.718),
(0.369, -0.049, 0.716),
(0.298, -0.032, 0.819),
(0.113, -0.003, 0.905),
(0.052, 0.005, 0.880),
(0.029, -0.011, 0.863),
(-0.021, -0.027, 0.897),
(-0.087, 0.026, 0.965),
(-0.140, 0.077, 1.009),
(-0.155, 0.110, 0.986),
(-0.134, 0.138, 0.969),
(0.008, 0.173, 0.936),
(-0.147, 0.359, 1.085),
(-0.167, 0.414, 1.096),
(-0.191, 0.349, 0.913),
(-0.176, 0.319, 0.919),
(-0.159, 0.322, 0.917),
(-0.151, 0.523, 1.041),
(-0.162, 0.555, 1.034),
(-0.197, 0.513, 1.023),
(-0.188, 0.405, 0.989),
(-0.172, 0.425, 0.963),
(-0.154, 0.450, 0.976),
(-0.160, 0.478, 0.982),
(-0.143, 0.510, 0.989),
(-0.143, 0.476, 0.952),
(-0.175, 0.453, 0.935),
(-0.209, 0.430, 0.963),
(-0.227, 0.450, 0.952),
(-0.263, 0.467, 0.974),
(-0.281, 0.521, 0.966),
(-0.298, 0.546, 0.977),
(-0.274, 0.545, 0.952),
(-0.271, 0.511, 0.932),
(-0.287, 0.493, 0.972),
(-0.276, 0.477, 0.955),
(-0.284, 0.413, 0.961),
(-0.288, 0.412, 0.922),
(-0.309, 0.417, 0.927),
(-0.346, 0.462, 0.955),
(-0.381, 0.497, 0.990),
(-0.375, 0.479, 0.975),
(-0.370, 0.445, 0.965),
(-0.357, 0.430, 0.974),
(-0.334, 0.404, 1.012),
(-0.331, 0.366, 0.999),
(-0.323, 0.362, 1.029),
(-0.327, 0.378, 1.071),
(-0.374, 0.396, 1.069),
(-0.396, 0.430, 1.081),
(-0.401, 0.451, 1.087),
(-0.428, 0.452, 1.095),
(-0.480, 0.447, 1.047),
(-0.481, 0.462, 1.046),
(-0.453, 0.475, 1.041),
(-0.435, 0.462, 1.029),
(-0.419, 0.484, 1.028),
(-0.411, 0.497, 1.015),
(-0.412, 0.527, 1.009),
(-0.425, 0.558, 1.014),
